asset_id,profile_id,file_id,filename,mime_type,status,bytes
93038,253,29700,AST_IM_20211029_141824.jpeg,image/jpeg,skip,139943
93041,253,29693,AST_IM_20211029_142832.jpeg,image/jpeg,skip,130529
93041,253,64635,AST_IM_20230125_160226.jpeg,image/jpeg,skip,104230
93041,253,64636,AST_IM_20230125_160236.jpeg,image/jpeg,skip,113880
93041,253,64638,AST_IM_20230125_160304.jpeg,image/jpeg,skip,104402
93043,253,29697,AST_IM_20211029_132630.jpeg,image/jpeg,skip,127978
94144,253,32678,Babcock Bridge # 2.jpg,image/jpeg,skip,118395
94170,253,33043,AST_IM_20211126_125458.jpeg,image/jpeg,skip,126901
94172,253,33048,AST_IM_20211126_125544.jpeg,image/jpeg,skip,118274
94177,253,33072,AST_IM_20211126_123608.jpeg,image/jpeg,skip,113151
94777,253,70479,MI_20240629_131919.jpg,image/jpeg,skip,1071305
94778,253,70489,MI_20240629_125627.jpg,image/jpeg,skip,1280987
94779,253,70135,AST_EX_20240629_125041.jpeg,image/jpeg,skip,113548
95938,253,55415,AST_EX_20220718_192953.jpeg,image/jpeg,skip,79882
95947,253,35513,AST_IM_20220121_144127.jpeg,image/jpeg,skip,104525
95947,253,35517,AST_IM_20220121_144121.jpeg,image/jpeg,skip,122793
95947,253,71801,AST_EX_20240730_131657.jpeg,image/jpeg,skip,142177
95947,253,71803,AST_EX_20240730_131643.jpeg,image/jpeg,skip,139547
95948,253,35519,AST_IM_20220121_144207.jpeg,image/jpeg,skip,121261
95948,253,71800,AST_EX_20240730_131759.jpeg,image/jpeg,skip,137633
96291,253,35806,P6110132.JPG,image/jpeg,skip,2294454
96292,253,35807,P6110130.JPG,image/jpeg,skip,2352431
96293,253,35805,DSCN0972.JPG,image/jpeg,skip,3042319
96561,253,82109,AST_EX_20250517_125815.jpeg,image/jpeg,skip,160229
96854,253,36702,emily lake 2.jpg,image/jpeg,skip,38683
96854,253,36703,emily lake 3.jpg,image/jpeg,skip,40566
96884,253,36758,AST_IM_20220314_141659.jpeg,image/jpeg,skip,104601
96884,253,36759,AST_IM_20220314_141646.jpeg,image/jpeg,skip,108234
97442,253,39025,AST_IM_20220407_132853.jpeg,image/jpeg,skip,153456
97444,253,39019,AST_IM_20220407_145222.jpeg,image/jpeg,skip,127879
97445,253,39013,AST_IM_20220407_145458.jpeg,image/jpeg,skip,142164
97446,253,39018,AST_IM_20220407_134129.jpeg,image/jpeg,skip,128161
