created,description,exclude_psab,ignore_threshold,is_aro_identified,is_aro_reviewed,is_contaminated,is_contributed,is_gov_transfer,is_heritage,is_import,is_leased,is_locked,is_recycled,is_water_service,is_wastewater_service,is_wip,is_works,historical_cost,name,profile_id,service_date,updated,valuation_cost,class_classification_id,category_classification_id,segment_classification_id,is_disposed,id,profile_id_used,profile_name,import_id
2022-07-23 23:29:00.799245+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7200.0,boardwalk at Elizabeth Lk. 16m,337,2010-01-01,2026-04-28 08:50:10.685393+00,7200.0,13184,21528,21529,False,108318,337,Boardwalk < 1.2m High,
2022-07-23 23:29:00.736963+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10350.0,"23m boardwalk, Og trail",337,2010-01-01,2026-04-28 08:50:10.685393+00,10350.0,13184,21528,21529,False,108326,337,Boardwalk < 1.2m High,
2022-07-23 23:29:00.980595+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3600.0,"boardwalk cerulean shoreline trail, 8m",337,2010-01-01,2026-04-28 08:50:10.685393+00,3600.0,13184,21528,21529,False,108327,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.043607+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4500.0,"sunburst cabin boardwalk, 10m",337,2010-01-01,2026-04-28 08:50:10.685393+00,4500.0,13184,21528,21529,False,108333,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.122859+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9000.0,boardwalk 20m between surprise and rock,337,2010-01-01,2026-04-28 08:50:10.685393+00,9000.0,13184,21528,21529,False,108339,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.108673+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8550.0,"four tier boardwalk near ferro pass, 19m",337,2010-01-01,2026-04-28 08:50:10.685393+00,8550.0,13184,21528,21529,False,108341,337,Boardwalk < 1.2m High,
2022-07-23 23:29:00.955921+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,900.0,"boardwalk, on way to Sunburst, 2m",337,2010-01-01,2026-04-28 08:50:10.685393+00,900.0,13184,21528,21529,False,108345,337,Boardwalk < 1.2m High,
2022-07-23 23:29:00.963183+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2700.0,"boardwalk 6m, between surprise and rock",337,2010-01-01,2026-04-28 08:50:10.685393+00,2700.0,13184,21528,21529,False,108349,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.203843+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2250.0,"boardwalk shoreline trail Cerulean, 5m",337,2010-01-01,2026-04-28 08:50:10.685393+00,2250.0,13184,21528,21529,False,108353,337,Boardwalk < 1.2m High,
2022-07-23 23:29:00.963371+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6750.0,boardwalk between surprise and rock 15m,337,2010-01-01,2026-04-28 08:50:10.685393+00,6750.0,13184,21528,21529,False,108355,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.134688+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18000.0,"boardwalk 40m, near Assiniboine lodge on route to Nub",337,2010-01-01,2026-04-28 08:50:10.685393+00,18000.0,13184,21528,21529,False,108358,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.214869+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6750.0,three tier boardwalk near ferro pass 15m,337,2010-01-01,2026-04-28 08:50:10.685393+00,6750.0,13184,21528,21529,False,108365,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.07147+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12600.0,"boardwalk near ferro pass, 28m",337,2010-01-01,2026-04-28 08:50:10.685393+00,12600.0,13184,21528,21529,False,108373,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.199525+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4500.0,"boardwalk, missing plank, 10m",337,2010-01-01,2026-04-28 08:50:10.685393+00,4500.0,13184,21528,21529,False,108381,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.1399+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9000.0,"boardwalk, two side by side, 20m",337,2010-01-01,2026-04-28 08:50:10.685393+00,9000.0,13184,21528,21529,False,108395,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.144527+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2250.0,"boardwalk at surprise creek c/g, 5m",337,2010-01-01,2026-04-28 08:50:10.685393+00,2250.0,13184,21528,21529,False,108397,337,Boardwalk < 1.2m High,
2022-07-23 23:29:01.122856+00,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7200.0,"boardwalk 500m from Assiniboine lodge, 16m",337,2010-01-01,2026-04-28 08:50:10.685393+00,7200.0,13184,21528,21529,False,108398,337,Boardwalk < 1.2m High,
2022-07-24 00:05:50.906478+00,75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,800.0,PCT Camp - Water Source Boardwalk,337,2015-06-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108413,337,Boardwalk < 1.2m High,
2022-07-25 22:24:10.488773+00,"wood planks,3m long, 1m wide, 2005",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1300.0,boardwalk mystery lake trail,337,2005-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108654,337,Boardwalk < 1.2m High,
2022-07-25 22:24:10.500128+00,"wood planks, 11m long, 1.5m wide, 2005",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10000.0,Boardwalk mystery lake trail,337,2005-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108655,337,Boardwalk < 1.2m High,
2022-07-25 22:24:10.480637+00,"some boards soft, 3m long, 0.5m wide, 1990",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1300.0,boardwalk mt Seymour main trail,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108656,337,Boardwalk < 1.2m High,
2022-07-25 22:42:33.789764+00,"4 wood boards, 1.5x3m, beginning of trail",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Mystery Lake Trail,337,2005-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108660,337,Boardwalk < 1.2m High,
2022-07-25 22:42:33.818639+00,"Wood, after pond, 1x4m",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk -Mystery Lake Trail,337,2010-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108661,337,Boardwalk < 1.2m High,
2022-07-25 22:42:33.90052+00,"Wood, 1.5x4m, after another one the same size",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Mystery Lake Trail,337,2010-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108667,337,Boardwalk < 1.2m High,
2022-07-26 22:52:51.964503+00,"two wooden beams supported on wood logs, 4m long, 0.5m wide, 1990",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Boardwalk blue gentian trail,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108705,337,Boardwalk < 1.2m High,
2022-07-26 22:52:51.957351+00,"wood, 2m long, 0.5m long, 1990",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian trail,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108706,337,Boardwalk < 1.2m High,
2022-07-26 22:52:51.97738+00,"wood planks in steps down to lake, 10m long, 1m wide, 1995",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian trail,337,1995-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108708,337,Boardwalk < 1.2m High,
2022-07-26 22:52:51.994509+00,"wood,1.5m long,1m wide, supported on logs, 1995",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian trail,337,1995-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108710,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.026598+00,"wood planks, 18m long, 1m wide, 1995",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian lake,337,1995-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108711,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.061508+00,"rotting, wood planks,12m long, 1m wide, 1995",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian lake,337,1995-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108712,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.057047+00,"starting to rot, wood planks, 4m long, 1m wide, 2000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian trail,337,2000-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108713,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.021079+00,"wood planks at lake, 8m long, 0.5m wide, 2000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian lake,337,2000-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108714,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.05578+00,"wood, 1.5m long, 0.5m wide, 1995",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,Boardwalk blue gentian trail,337,1995-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108715,337,Boardwalk < 1.2m High,
2022-07-26 22:52:52.057494+00,"wood planks, 10m long, 1m wide, 2000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,boardwalk blue gentian lake,337,2000-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108716,337,Boardwalk < 1.2m High,
2022-07-27 00:41:46.632448+00,"2 logs, before another boardwalk, 1x3m,",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Blue Gentian Trail,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108727,337,Boardwalk < 1.2m High,
2022-07-27 00:41:46.629043+00,".5x5m, wood",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Blue Gentian Trail,337,2000-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108728,337,Boardwalk < 1.2m High,
2022-07-27 00:41:46.58244+00,"5 logs, .5x4m,",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk Blue Gentian,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108729,337,Boardwalk < 1.2m High,
2022-07-27 00:41:46.610472+00,"1x13, wood, beside lake, 2 steps",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Blue Gentian Trail,337,2000-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108733,337,Boardwalk < 1.2m High,
2022-07-27 00:41:46.652379+00,"Timber and log mix with metal traction, 1x8m",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Boardwalk - Blue Gentian Trail,337,1990-01-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108735,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.143188+00,2 8 foot sections 1 busted 4/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108779,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.142878+00,16 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108780,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.207227+00,16 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury cabin,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108782,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.302377+00,Boardwalk 8ft by 2 ft,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108783,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.318585+00,4 8 foot by 2 foot sections 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108784,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.319183+00,11 8 ft 3/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108787,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.318457+00,5 8 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108788,337,Boardwalk < 1.2m High,
