attribute_definition_id,attribute_definition_name,value,id,asset_id,profile_id
3,GIS ID,bridges.46340,287119,46340,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936223,46340,253
198,Width,1,936224,46340,253
204,acs Is Asset Accessible,No,936225,46340,253
205,acs Is the Route to the Asset Accessible,No Was Not Designed To Be,936226,46340,253
216,Decking Material,Timber,936227,46340,253
217,Structure Material,Timber,936228,46340,253
218,Has Pedestrian Railing,TBD,936229,46340,253
221,Length,7,936230,46340,253
223,Load Capacity,500,936231,46340,253
228,Bridge Type,Beam,936232,46340,253
229,Abutment Material,Timber,936233,46340,253
231,Vehicle Access,No,936234,46340,253
219,Has Edge Guard,No,2377879,46340,253
209,Surface Material,Wood or Timber,2551799,46340,253
345,acs Accessible Priority,Medium,2943519,46340,253
306,Next Inspection by Staff,2025-08-14,2987938,46340,253
347,Height,1,3016893,46340,253
226,Fall Height,-1,3022700,46340,253
292,Last Inspection by Qualified Professional,1992-01-01,3033784,46340,253
360,PO2026 Agrmt Priority,Not Applicable,3087601,46340,253
3,GIS ID,bridges.46341,287123,46341,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936235,46341,253
198,Width,1.00,936236,46341,253
204,acs Is Asset Accessible,No,936237,46341,253
205,acs Is the Route to the Asset Accessible,No,936238,46341,253
216,Decking Material,Timber,936239,46341,253
217,Structure Material,Timber,936240,46341,253
218,Has Pedestrian Railing,No railings,936241,46341,253
221,Length,4.0,936242,46341,253
223,Load Capacity,1.00,936243,46341,253
228,Bridge Type,Beam,936244,46341,253
229,Abutment Material,Timber,936245,46341,253
231,Vehicle Access,No,936246,46341,253
219,Has Edge Guard,No,2377880,46341,253
209,Surface Material,TBD,2551800,46341,253
306,Next Inspection by Staff,2026-05-01,2689971,46341,253
293,Next Inspection by Qualified Professional,1997-01-01,2812344,46341,253
345,acs Accessible Priority,Medium,2943520,46341,253
347,Height,1,3016894,46341,253
226,Fall Height,-1,3022701,46341,253
292,Last Inspection by Qualified Professional,1992-01-01,3033785,46341,253
360,PO2026 Agrmt Priority,Not Applicable,3087602,46341,253
3,GIS ID,bridges.46614,288215,46614,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936259,46614,253
198,Width,1,936260,46614,253
204,acs Is Asset Accessible,No,936261,46614,253
205,acs Is the Route to the Asset Accessible,No,936262,46614,253
216,Decking Material,Timber,936263,46614,253
217,Structure Material,Timber,936264,46614,253
218,Has Pedestrian Railing,TBD,936265,46614,253
221,Length,10,936266,46614,253
223,Load Capacity,0,936267,46614,253
228,Bridge Type,Beam,936268,46614,253
229,Abutment Material,Timber,936269,46614,253
231,Vehicle Access,No,936270,46614,253
219,Has Edge Guard,Yes,2377885,46614,253
209,Surface Material,TBD,2551805,46614,253
306,Next Inspection by Staff,2026-05-01,2690191,46614,253
293,Next Inspection by Qualified Professional,2022-01-01,2812394,46614,253
345,acs Accessible Priority,Medium,2943567,46614,253
347,Height,1,3016895,46614,253
226,Fall Height,2,3022708,46614,253
292,Last Inspection by Qualified Professional,2017-01-01,3033831,46614,253
360,PO2026 Agrmt Priority,Not Applicable,3078789,46614,253
3,GIS ID,bridges.46723,288651,46723,253
67,"Material (Frame, Tank, Body)",TBD,936283,46723,253
198,Width,1,936284,46723,253
204,acs Is Asset Accessible,Not Required,936285,46723,253
205,acs Is the Route to the Asset Accessible,Not Required,936286,46723,253
216,Decking Material,TBD,936287,46723,253
217,Structure Material,TBD,936288,46723,253
218,Has Pedestrian Railing,No railings,936289,46723,253
221,Length,0,936290,46723,253
223,Load Capacity,0,936291,46723,253
228,Bridge Type,TBD,936292,46723,253
229,Abutment Material,TBD,936293,46723,253
231,Vehicle Access,No,936294,46723,253
219,Has Edge Guard,No,2377888,46723,253
209,Surface Material,TBD,2551808,46723,253
345,acs Accessible Priority,Not Applicable,2819652,46723,253
347,Height,0,3016896,46723,253
306,Next Inspection by Staff,2026-05-01,3041683,46723,253
360,PO2026 Agrmt Priority,Not Applicable,3076802,46723,253
3,GIS ID,bridges.46922,289447,46922,253
67,"Material (Frame, Tank, Body)",Steel,936307,46922,253
198,Width,2,936308,46922,253
204,acs Is Asset Accessible,TBD,936309,46922,253
205,acs Is the Route to the Asset Accessible,TBD,936310,46922,253
216,Decking Material,Timber,936311,46922,253
217,Structure Material,Steel,936312,46922,253
218,Has Pedestrian Railing,No railings,936313,46922,253
221,Length,10,936314,46922,253
223,Load Capacity,5000,936315,46922,253
228,Bridge Type,Beam,936316,46922,253
229,Abutment Material,TBD,936317,46922,253
231,Vehicle Access,Yes,936318,46922,253
219,Has Edge Guard,Yes,2377892,46922,253
209,Surface Material,Wood or Timber,2551812,46922,253
306,Next Inspection by Staff,2027-01-14,2690407,46922,253
293,Next Inspection by Qualified Professional,2018-09-01,2812413,46922,253
345,acs Accessible Priority,Medium,2943658,46922,253
347,Height,2,3016897,46922,253
226,Fall Height,-1,3022713,46922,253
292,Last Inspection by Qualified Professional,2013-09-01,3033848,46922,253
360,PO2026 Agrmt Priority,Not Applicable,3078867,46922,253
3,GIS ID,bridges.46923,289451,46923,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936319,46923,253
198,Width,1,936320,46923,253
204,acs Is Asset Accessible,TBD,936321,46923,253
205,acs Is the Route to the Asset Accessible,TBD,936322,46923,253
216,Decking Material,TBD,936323,46923,253
217,Structure Material,Timber,936324,46923,253
218,Has Pedestrian Railing,No railings,936325,46923,253
221,Length,3,936326,46923,253
223,Load Capacity,200,936327,46923,253
228,Bridge Type,Beam,936328,46923,253
229,Abutment Material,TBD,936329,46923,253
231,Vehicle Access,No,936330,46923,253
219,Has Edge Guard,No,2377893,46923,253
209,Surface Material,Wood or Timber,2551813,46923,253
306,Next Inspection by Staff,2027-01-15,2690408,46923,253
293,Next Inspection by Qualified Professional,2012-01-01,2812414,46923,253
345,acs Accessible Priority,Medium,2943659,46923,253
347,Height,2,3016898,46923,253
226,Fall Height,-1,3022714,46923,253
292,Last Inspection by Qualified Professional,2007-01-01,3033849,46923,253
360,PO2026 Agrmt Priority,Not Applicable,3076810,46923,253
3,GIS ID,bridges.46924,289455,46924,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936331,46924,253
198,Width,1,936332,46924,253
204,acs Is Asset Accessible,TBD,936333,46924,253
205,acs Is the Route to the Asset Accessible,TBD,936334,46924,253
216,Decking Material,Timber,936335,46924,253
217,Structure Material,Timber,936336,46924,253
218,Has Pedestrian Railing,No railings,936337,46924,253
221,Length,2,936338,46924,253
223,Load Capacity,0,936339,46924,253
228,Bridge Type,Beam,936340,46924,253
229,Abutment Material,TBD,936341,46924,253
231,Vehicle Access,No,936342,46924,253
219,Has Edge Guard,No,2377894,46924,253
209,Surface Material,TBD,2551814,46924,253
306,Next Inspection by Staff,2027-01-14,2690409,46924,253
293,Next Inspection by Qualified Professional,2012-01-01,2812415,46924,253
345,acs Accessible Priority,Medium,2943660,46924,253
347,Height,1,3016899,46924,253
226,Fall Height,-1,3022715,46924,253
292,Last Inspection by Qualified Professional,2007-01-01,3033850,46924,253
360,PO2026 Agrmt Priority,Not Applicable,3078868,46924,253
3,GIS ID,bridges.46925,289459,46925,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936343,46925,253
198,Width,1,936344,46925,253
204,acs Is Asset Accessible,TBD,936345,46925,253
205,acs Is the Route to the Asset Accessible,TBD,936346,46925,253
216,Decking Material,Timber,936347,46925,253
217,Structure Material,Timber,936348,46925,253
218,Has Pedestrian Railing,No railings,936349,46925,253
221,Length,8,936350,46925,253
223,Load Capacity,500,936351,46925,253
228,Bridge Type,Beam,936352,46925,253
229,Abutment Material,TBD,936353,46925,253
231,Vehicle Access,No,936354,46925,253
219,Has Edge Guard,No,2377895,46925,253
209,Surface Material,Wood or Timber,2551815,46925,253
306,Next Inspection by Staff,2027-01-14,2690410,46925,253
293,Next Inspection by Qualified Professional,2012-01-01,2812416,46925,253
345,acs Accessible Priority,Medium,2943661,46925,253
347,Height,1,3016900,46925,253
226,Fall Height,-1,3022716,46925,253
292,Last Inspection by Qualified Professional,2007-01-01,3033851,46925,253
360,PO2026 Agrmt Priority,Not Applicable,3078869,46925,253
3,GIS ID,bridges.46926,289463,46926,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936355,46926,253
198,Width,1,936356,46926,253
204,acs Is Asset Accessible,TBD,936357,46926,253
205,acs Is the Route to the Asset Accessible,TBD,936358,46926,253
216,Decking Material,Timber,936359,46926,253
217,Structure Material,Timber,936360,46926,253
218,Has Pedestrian Railing,No railings,936361,46926,253
221,Length,6,936362,46926,253
223,Load Capacity,300,936363,46926,253
228,Bridge Type,Beam,936364,46926,253
229,Abutment Material,TBD,936365,46926,253
231,Vehicle Access,No,936366,46926,253
219,Has Edge Guard,No,2377896,46926,253
209,Surface Material,Wood or Timber,2551816,46926,253
306,Next Inspection by Staff,2027-01-14,2690411,46926,253
293,Next Inspection by Qualified Professional,2012-01-01,2812417,46926,253
345,acs Accessible Priority,Medium,2943662,46926,253
347,Height,1,3016901,46926,253
226,Fall Height,-1,3022717,46926,253
292,Last Inspection by Qualified Professional,2007-01-01,3033852,46926,253
360,PO2026 Agrmt Priority,Not Applicable,3078870,46926,253
3,GIS ID,bridges.46927,289467,46927,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936367,46927,253
198,Width,0.5,936368,46927,253
204,acs Is Asset Accessible,TBD,936369,46927,253
205,acs Is the Route to the Asset Accessible,TBD,936370,46927,253
216,Decking Material,Timber,936371,46927,253
217,Structure Material,Timber,936372,46927,253
218,Has Pedestrian Railing,TBD,936373,46927,253
221,Length,7,936374,46927,253
223,Load Capacity,500,936375,46927,253
228,Bridge Type,Beam,936376,46927,253
229,Abutment Material,TBD,936377,46927,253
231,Vehicle Access,No,936378,46927,253
219,Has Edge Guard,No,2377897,46927,253
209,Surface Material,Wood or Timber,2551817,46927,253
306,Next Inspection by Staff,2027-01-14,2690412,46927,253
293,Next Inspection by Qualified Professional,2024-05-01,2812418,46927,253
345,acs Accessible Priority,TBD,2943663,46927,253
347,Height,1,3016902,46927,253
360,PO2026 Agrmt Priority,Not Applicable,3076811,46927,253
3,GIS ID,bridges.46928,289471,46928,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936379,46928,253
198,Width,0.5,936380,46928,253
204,acs Is Asset Accessible,TBD,936381,46928,253
205,acs Is the Route to the Asset Accessible,TBD,936382,46928,253
216,Decking Material,Timber,936383,46928,253
217,Structure Material,Timber,936384,46928,253
218,Has Pedestrian Railing,TBD,936385,46928,253
221,Length,8,936386,46928,253
223,Load Capacity,500,936387,46928,253
228,Bridge Type,Beam,936388,46928,253
229,Abutment Material,TBD,936389,46928,253
231,Vehicle Access,No,936390,46928,253
219,Has Edge Guard,No,2377898,46928,253
209,Surface Material,Wood or Timber,2551818,46928,253
306,Next Inspection by Staff,2027-01-14,2690413,46928,253
293,Next Inspection by Qualified Professional,2024-05-01,2812419,46928,253
345,acs Accessible Priority,TBD,2943664,46928,253
347,Height,1,3016903,46928,253
360,PO2026 Agrmt Priority,Not Applicable,3076812,46928,253
3,GIS ID,bridges.46929,289475,46929,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936391,46929,253
198,Width,1,936392,46929,253
204,acs Is Asset Accessible,TBD,936393,46929,253
205,acs Is the Route to the Asset Accessible,TBD,936394,46929,253
216,Decking Material,TBD,936395,46929,253
217,Structure Material,Timber,936396,46929,253
218,Has Pedestrian Railing,No railings,936397,46929,253
221,Length,5,936398,46929,253
223,Load Capacity,300,936399,46929,253
228,Bridge Type,Beam,936400,46929,253
229,Abutment Material,TBD,936401,46929,253
231,Vehicle Access,No,936402,46929,253
219,Has Edge Guard,No,2377899,46929,253
209,Surface Material,Wood or Timber,2551819,46929,253
306,Next Inspection by Staff,2027-01-14,2690414,46929,253
293,Next Inspection by Qualified Professional,2015-01-01,2812420,46929,253
345,acs Accessible Priority,Medium,2943665,46929,253
347,Height,1,3016904,46929,253
226,Fall Height,-1,3022718,46929,253
292,Last Inspection by Qualified Professional,2010-01-01,3033853,46929,253
360,PO2026 Agrmt Priority,Not Applicable,3078871,46929,253
3,GIS ID,bridges.46931,289483,46931,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936415,46931,253
198,Width,1,936416,46931,253
204,acs Is Asset Accessible,TBD,936417,46931,253
205,acs Is the Route to the Asset Accessible,TBD,936418,46931,253
216,Decking Material,Timber,936419,46931,253
217,Structure Material,Timber,936420,46931,253
218,Has Pedestrian Railing,TBD,936421,46931,253
221,Length,8,936422,46931,253
223,Load Capacity,500,936423,46931,253
228,Bridge Type,Beam,936424,46931,253
229,Abutment Material,TBD,936425,46931,253
231,Vehicle Access,No,936426,46931,253
219,Has Edge Guard,No,2377901,46931,253
209,Surface Material,Wood or Timber,2551821,46931,253
306,Next Inspection by Staff,2027-01-15,2690415,46931,253
293,Next Inspection by Qualified Professional,2008-01-01,2812421,46931,253
345,acs Accessible Priority,Medium,2943666,46931,253
347,Height,2,3016905,46931,253
226,Fall Height,-1,3022719,46931,253
292,Last Inspection by Qualified Professional,2003-01-01,3033854,46931,253
360,PO2026 Agrmt Priority,Not Applicable,3078872,46931,253
3,GIS ID,bridges.46932,289487,46932,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936427,46932,253
198,Width,1,936428,46932,253
204,acs Is Asset Accessible,TBD,936429,46932,253
205,acs Is the Route to the Asset Accessible,TBD,936430,46932,253
216,Decking Material,Timber,936431,46932,253
217,Structure Material,Timber,936432,46932,253
218,Has Pedestrian Railing,No railings,936433,46932,253
221,Length,5,936434,46932,253
223,Load Capacity,500,936435,46932,253
228,Bridge Type,Beam,936436,46932,253
229,Abutment Material,TBD,936437,46932,253
231,Vehicle Access,No,936438,46932,253
219,Has Edge Guard,No,2377902,46932,253
209,Surface Material,Wood or Timber,2551822,46932,253
306,Next Inspection by Staff,2027-01-14,2690416,46932,253
293,Next Inspection by Qualified Professional,2020-08-01,2812422,46932,253
345,acs Accessible Priority,Medium,2943667,46932,253
347,Height,1,3016906,46932,253
226,Fall Height,-1,3022720,46932,253
292,Last Inspection by Qualified Professional,2015-08-01,3033855,46932,253
360,PO2026 Agrmt Priority,Not Applicable,3078873,46932,253
3,GIS ID,bridges.47182,290487,47182,253
67,"Material (Frame, Tank, Body)",TBD,936439,47182,253
198,Width,1,936440,47182,253
204,acs Is Asset Accessible,TBD,936441,47182,253
205,acs Is the Route to the Asset Accessible,TBD,936442,47182,253
216,Decking Material,TBD,936443,47182,253
217,Structure Material,TBD,936444,47182,253
218,Has Pedestrian Railing,No railings,936445,47182,253
221,Length,0,936446,47182,253
223,Load Capacity,0,936447,47182,253
228,Bridge Type,TBD,936448,47182,253
229,Abutment Material,TBD,936449,47182,253
231,Vehicle Access,No,936450,47182,253
219,Has Edge Guard,No,2377904,47182,253
209,Surface Material,TBD,2551824,47182,253
306,Next Inspection by Staff,2026-05-01,2690635,47182,253
293,Next Inspection by Qualified Professional,2001-01-01,2812501,47182,253
345,acs Accessible Priority,Medium,2943712,47182,253
347,Height,0,3016907,47182,253
226,Fall Height,-1,3022730,47182,253
292,Last Inspection by Qualified Professional,1996-01-01,3033928,47182,253
360,PO2026 Agrmt Priority,high,3142151,47182,253
3,GIS ID,bridges.47299,290955,47299,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936451,47299,253
198,Width,1,936452,47299,253
204,acs Is Asset Accessible,Yes,936453,47299,253
205,acs Is the Route to the Asset Accessible,Partially Describe in Condition Assessment,936454,47299,253
216,Decking Material,Timber,936455,47299,253
217,Structure Material,Timber,936456,47299,253
218,Has Pedestrian Railing,TBD,936457,47299,253
221,Length,4,936458,47299,253
223,Load Capacity,0,936459,47299,253
228,Bridge Type,TBD,936460,47299,253
229,Abutment Material,TBD,936461,47299,253
231,Vehicle Access,No,936462,47299,253
219,Has Edge Guard,No,2377905,47299,253
209,Surface Material,TBD,2551825,47299,253
306,Next Inspection by Staff,2025-06-15,2690732,47299,253
293,Next Inspection by Qualified Professional,1985-01-01,2812514,47299,253
345,acs Accessible Priority,Medium,2943736,47299,253
347,Height,0,3016908,47299,253
226,Fall Height,-1,3022733,47299,253
292,Last Inspection by Qualified Professional,1980-01-01,3033939,47299,253
360,PO2026 Agrmt Priority,high,3186452,47299,253
3,GIS ID,bridges.47389,291315,47389,253
67,"Material (Frame, Tank, Body)",TBD,936463,47389,253
198,Width,1,936464,47389,253
204,acs Is Asset Accessible,TBD,936465,47389,253
205,acs Is the Route to the Asset Accessible,TBD,936466,47389,253
216,Decking Material,TBD,936467,47389,253
217,Structure Material,TBD,936468,47389,253
218,Has Pedestrian Railing,No railings,936469,47389,253
221,Length,0,936470,47389,253
223,Load Capacity,0,936471,47389,253
228,Bridge Type,TBD,936472,47389,253
229,Abutment Material,TBD,936473,47389,253
231,Vehicle Access,No,936474,47389,253
219,Has Edge Guard,No,2377906,47389,253
209,Surface Material,TBD,2551826,47389,253
306,Next Inspection by Staff,2026-05-02,2690800,47389,253
293,Next Inspection by Qualified Professional,1985-01-01,2812542,47389,253
345,acs Accessible Priority,Medium,2943754,47389,253
347,Height,0,3016909,47389,253
226,Fall Height,-1,3022734,47389,253
292,Last Inspection by Qualified Professional,1980-01-01,3033963,47389,253
360,PO2026 Agrmt Priority,high,3181508,47389,253
3,GIS ID,bridges.47532,291887,47532,253
198,Width,1.50,936476,47532,253
204,acs Is Asset Accessible,No,936477,47532,253
205,acs Is the Route to the Asset Accessible,No,936478,47532,253
216,Decking Material,Timber,936479,47532,253
217,Structure Material,Timber,936480,47532,253
218,Has Pedestrian Railing,TBD,936481,47532,253
223,Load Capacity,0.00,936483,47532,253
228,Bridge Type,Beam,936484,47532,253
229,Abutment Material,Concrete,936485,47532,253
231,Vehicle Access,No,936486,47532,253
219,Has Edge Guard,No,2377907,47532,253
292,Last Inspection by Qualified Professional,1996-01-01,2541018,47532,253
293,Next Inspection by Qualified Professional,2025-05-01,2544135,47532,253
221,Length,0.00,2547627,47532,253
306,Next Inspection by Staff,2025-11-09,2690921,47532,253
345,acs Accessible Priority,Medium,2943784,47532,253
347,Height,0,3016910,47532,253
226,Fall Height,-1,3022735,47532,253
360,PO2026 Agrmt Priority,high,3173805,47532,253
3,GIS ID,bridges.47533,291891,47533,253
198,Width,1.50,936488,47533,253
204,acs Is Asset Accessible,No,936489,47533,253
205,acs Is the Route to the Asset Accessible,No,936490,47533,253
216,Decking Material,Timber,936491,47533,253
217,Structure Material,Timber,936492,47533,253
218,Has Pedestrian Railing,TBD,936493,47533,253
223,Load Capacity,0.00,936495,47533,253
228,Bridge Type,Beam,936496,47533,253
229,Abutment Material,Concrete,936497,47533,253
231,Vehicle Access,Yes,936498,47533,253
219,Has Edge Guard,Yes,2377908,47533,253
292,Last Inspection by Qualified Professional,1995-01-01,2541019,47533,253
293,Next Inspection by Qualified Professional,2025-05-01,2544136,47533,253
221,Length,0.00,2547628,47533,253
306,Next Inspection by Staff,2025-11-09,2690922,47533,253
345,acs Accessible Priority,Medium,2943785,47533,253
347,Height,0,3016911,47533,253
226,Fall Height,-1,3022736,47533,253
360,PO2026 Agrmt Priority,high,3173806,47533,253
3,GIS ID,bridges.47632,292287,47632,253
67,"Material (Frame, Tank, Body)",Metal,936499,47632,253
198,Width,1,936500,47632,253
204,acs Is Asset Accessible,No,936501,47632,253
205,acs Is the Route to the Asset Accessible,No,936502,47632,253
216,Decking Material,Timber,936503,47632,253
217,Structure Material,Timber,936504,47632,253
218,Has Pedestrian Railing,TBD,936505,47632,253
221,Length,0,936506,47632,253
223,Load Capacity,0,936507,47632,253
228,Bridge Type,Suspension,936508,47632,253
229,Abutment Material,Steel,936509,47632,253
231,Vehicle Access,No,936510,47632,253
219,Has Edge Guard,No,2377909,47632,253
209,Surface Material,Wood or Timber,2551829,47632,253
306,Next Inspection by Staff,2025-11-18,2691011,47632,253
293,Next Inspection by Qualified Professional,2015-01-01,2812579,47632,253
345,acs Accessible Priority,Medium,2943813,47632,253
347,Height,2,3016912,47632,253
226,Fall Height,-1,3022737,47632,253
292,Last Inspection by Qualified Professional,2010-01-01,3033992,47632,253
360,PO2026 Agrmt Priority,high,3149137,47632,253
3,GIS ID,bridges.47633,292291,47633,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936511,47633,253
198,Width,1.5,936512,47633,253
204,acs Is Asset Accessible,No,936513,47633,253
205,acs Is the Route to the Asset Accessible,No,936514,47633,253
216,Decking Material,Timber,936515,47633,253
217,Structure Material,Timber,936516,47633,253
218,Has Pedestrian Railing,No railings,936517,47633,253
221,Length,20,936518,47633,253
223,Load Capacity,0,936519,47633,253
228,Bridge Type,Beam,936520,47633,253
229,Abutment Material,Timber,936521,47633,253
231,Vehicle Access,No,936522,47633,253
219,Has Edge Guard,No,2377910,47633,253
209,Surface Material,TBD,2551830,47633,253
306,Next Inspection by Staff,2026-05-01,2691012,47633,253
293,Next Inspection by Qualified Professional,2020-06-01,2812580,47633,253
345,acs Accessible Priority,Medium,2943814,47633,253
347,Height,1,3016913,47633,253
226,Fall Height,-1,3022738,47633,253
292,Last Inspection by Qualified Professional,2015-06-01,3033993,47633,253
360,PO2026 Agrmt Priority,high,3149138,47633,253
3,GIS ID,bridges.47634,292295,47634,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936523,47634,253
198,Width,1.00,936524,47634,253
204,acs Is Asset Accessible,Yes,936525,47634,253
205,acs Is the Route to the Asset Accessible,Yes,936526,47634,253
216,Decking Material,Timber,936527,47634,253
217,Structure Material,Timber,936528,47634,253
218,Has Pedestrian Railing,TBD,936529,47634,253
221,Length,1.00,936530,47634,253
223,Load Capacity,1.00,936531,47634,253
228,Bridge Type,Beam,936532,47634,253
229,Abutment Material,Timber,936533,47634,253
231,Vehicle Access,No,936534,47634,253
219,Has Edge Guard,No,2377911,47634,253
209,Surface Material,TBD,2551831,47634,253
306,Next Inspection by Staff,2026-10-10,2691013,47634,253
293,Next Inspection by Qualified Professional,2015-06-01,2812581,47634,253
345,acs Accessible Priority,Medium,2943815,47634,253
347,Height,1.00,3016914,47634,253
226,Fall Height,-1.00,3022739,47634,253
292,Last Inspection by Qualified Professional,2010-06-01,3033994,47634,253
360,PO2026 Agrmt Priority,high,3149139,47634,253
3,GIS ID,bridges.47635,292299,47635,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936535,47635,253
198,Width,1.00,936536,47635,253
204,acs Is Asset Accessible,Yes,936537,47635,253
205,acs Is the Route to the Asset Accessible,Yes,936538,47635,253
216,Decking Material,Timber,936539,47635,253
217,Structure Material,Timber,936540,47635,253
218,Has Pedestrian Railing,No railings,936541,47635,253
221,Length,1.00,936542,47635,253
223,Load Capacity,1.00,936543,47635,253
228,Bridge Type,Beam,936544,47635,253
229,Abutment Material,TBD,936545,47635,253
231,Vehicle Access,No,936546,47635,253
219,Has Edge Guard,Yes,2377912,47635,253
209,Surface Material,TBD,2551832,47635,253
306,Next Inspection by Staff,2026-10-10,2691014,47635,253
293,Next Inspection by Qualified Professional,2015-06-01,2812582,47635,253
345,acs Accessible Priority,Medium,2943816,47635,253
347,Height,1.00,3016915,47635,253
226,Fall Height,-1.00,3022740,47635,253
292,Last Inspection by Qualified Professional,2010-06-01,3033995,47635,253
360,PO2026 Agrmt Priority,high,3149140,47635,253
3,GIS ID,bridges.47636,292303,47636,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936547,47636,253
198,Width,1,936548,47636,253
204,acs Is Asset Accessible,Partially Describe in Condition Assessment,936549,47636,253
205,acs Is the Route to the Asset Accessible,Yes,936550,47636,253
216,Decking Material,Timber,936551,47636,253
217,Structure Material,Timber,936552,47636,253
218,Has Pedestrian Railing,No railings,936553,47636,253
221,Length,0,936554,47636,253
223,Load Capacity,0,936555,47636,253
228,Bridge Type,Beam,936556,47636,253
229,Abutment Material,Timber,936557,47636,253
231,Vehicle Access,No,936558,47636,253
219,Has Edge Guard,No,2377913,47636,253
209,Surface Material,TBD,2551833,47636,253
306,Next Inspection by Staff,2026-10-10,2691015,47636,253
293,Next Inspection by Qualified Professional,2025-06-01,2812583,47636,253
345,acs Accessible Priority,Medium,2943817,47636,253
347,Height,1,3016916,47636,253
226,Fall Height,-1,3022741,47636,253
292,Last Inspection by Qualified Professional,2020-06-01,3033996,47636,253
360,PO2026 Agrmt Priority,high,3149141,47636,253
3,GIS ID,bridges.47637,292307,47637,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936559,47637,253
198,Width,1.00,936560,47637,253
204,acs Is Asset Accessible,TBD,936561,47637,253
205,acs Is the Route to the Asset Accessible,TBD,936562,47637,253
216,Decking Material,Timber,936563,47637,253
217,Structure Material,Timber,936564,47637,253
218,Has Pedestrian Railing,TBD,936565,47637,253
221,Length,10.00,936566,47637,253
223,Load Capacity,0.00,936567,47637,253
228,Bridge Type,Beam,936568,47637,253
229,Abutment Material,TBD,936569,47637,253
231,Vehicle Access,No,936570,47637,253
219,Has Edge Guard,No,2377914,47637,253
209,Surface Material,TBD,2551834,47637,253
306,Next Inspection by Staff,2026-10-10,2691016,47637,253
293,Next Inspection by Qualified Professional,2025-01-01,2812584,47637,253
345,acs Accessible Priority,Medium,2943818,47637,253
347,Height,0.00,3016917,47637,253
226,Fall Height,-1.00,3022742,47637,253
292,Last Inspection by Qualified Professional,2020-01-01,3033997,47637,253
360,PO2026 Agrmt Priority,high,3149142,47637,253
3,GIS ID,bridges.48111,294203,48111,253
198,Width,1.50,936572,48111,253
204,acs Is Asset Accessible,No,936573,48111,253
205,acs Is the Route to the Asset Accessible,No,936574,48111,253
216,Decking Material,Timber,936575,48111,253
217,Structure Material,Timber,936576,48111,253
218,Has Pedestrian Railing,TBD,936577,48111,253
223,Load Capacity,0.00,936579,48111,253
228,Bridge Type,Truss,936580,48111,253
229,Abutment Material,Timber,936581,48111,253
231,Vehicle Access,No,936582,48111,253
219,Has Edge Guard,No,2377915,48111,253
292,Last Inspection by Qualified Professional,2016-01-01,2541020,48111,253
293,Next Inspection by Qualified Professional,2025-05-01,2544137,48111,253
221,Length,0.00,2547629,48111,253
306,Next Inspection by Staff,2026-08-08,2691435,48111,253
345,acs Accessible Priority,Medium,2944047,48111,253
347,Height,1.50,3016918,48111,253
226,Fall Height,-1.00,3022744,48111,253
360,PO2026 Agrmt Priority,high,3174100,48111,253
3,GIS ID,bridges.48112,294207,48112,253
198,Width,1.50,936584,48112,253
204,acs Is Asset Accessible,No,936585,48112,253
205,acs Is the Route to the Asset Accessible,No,936586,48112,253
216,Decking Material,Timber,936587,48112,253
217,Structure Material,Timber,936588,48112,253
218,Has Pedestrian Railing,TBD,936589,48112,253
223,Load Capacity,0.00,936591,48112,253
228,Bridge Type,Truss,936592,48112,253
229,Abutment Material,Timber,936593,48112,253
231,Vehicle Access,No,936594,48112,253
219,Has Edge Guard,No,2377916,48112,253
292,Last Inspection by Qualified Professional,1995-01-01,2541021,48112,253
293,Next Inspection by Qualified Professional,2025-05-01,2544138,48112,253
221,Length,0.00,2547630,48112,253
306,Next Inspection by Staff,2025-09-13,2691436,48112,253
345,acs Accessible Priority,Medium,2944048,48112,253
347,Height,2,3016919,48112,253
226,Fall Height,-1,3022745,48112,253
360,PO2026 Agrmt Priority,high,3174101,48112,253
3,GIS ID,bridges.48267,294827,48267,253
67,"Material (Frame, Tank, Body)",TBD,936619,48267,253
198,Width,1,936620,48267,253
204,acs Is Asset Accessible,TBD,936621,48267,253
205,acs Is the Route to the Asset Accessible,TBD,936622,48267,253
216,Decking Material,TBD,936623,48267,253
217,Structure Material,TBD,936624,48267,253
218,Has Pedestrian Railing,No railings,936625,48267,253
221,Length,0,936626,48267,253
223,Load Capacity,0,936627,48267,253
228,Bridge Type,TBD,936628,48267,253
229,Abutment Material,TBD,936629,48267,253
